concept_id,series,dataset,column,section,first_year,last_year,n_years,has_gap,dcf_item,dcf_question,value_list,traps
enrolment_data_1.c10_b,enrolment_data_1.c10_b,enrolment_data_1,c10_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 10,count of children,
enrolment_data_1.c10_g,enrolment_data_1.c10_g,enrolment_data_1,c10_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 10,count of children,
enrolment_data_1.c10_t,enrolment_data_1.c10_t,enrolment_data_1,c10_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 10,count of children,
enrolment_data_1.c11_b,enrolment_data_1.c11_b,enrolment_data_1,c11_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 11,count of children,
enrolment_data_1.c11_g,enrolment_data_1.c11_g,enrolment_data_1,c11_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 11,count of children,
enrolment_data_1.c11_t,enrolment_data_1.c11_t,enrolment_data_1,c11_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 11,count of children,
enrolment_data_1.c12_b,enrolment_data_1.c12_b,enrolment_data_1,c12_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 12,count of children,
enrolment_data_1.c12_g,enrolment_data_1.c12_g,enrolment_data_1,c12_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 12,count of children,
enrolment_data_1.c12_t,enrolment_data_1.c12_t,enrolment_data_1,c12_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 12,count of children,
enrolment_data_1.c1_b,enrolment_data_1.c1_b,enrolment_data_1,c1_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 1,count of children,
enrolment_data_1.c1_g,enrolment_data_1.c1_g,enrolment_data_1,c1_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 1,count of children,
enrolment_data_1.c1_t,enrolment_data_1.c1_t,enrolment_data_1,c1_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 1,count of children,
enrolment_data_1.c2_b,enrolment_data_1.c2_b,enrolment_data_1,c2_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 2,count of children,
enrolment_data_1.c2_g,enrolment_data_1.c2_g,enrolment_data_1,c2_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 2,count of children,
enrolment_data_1.c2_t,enrolment_data_1.c2_t,enrolment_data_1,c2_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 2,count of children,
enrolment_data_1.c3_b,enrolment_data_1.c3_b,enrolment_data_1,c3_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 3,count of children,
enrolment_data_1.c3_g,enrolment_data_1.c3_g,enrolment_data_1,c3_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 3,count of children,
enrolment_data_1.c3_t,enrolment_data_1.c3_t,enrolment_data_1,c3_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 3,count of children,
enrolment_data_1.c4_b,enrolment_data_1.c4_b,enrolment_data_1,c4_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 4,count of children,
enrolment_data_1.c4_g,enrolment_data_1.c4_g,enrolment_data_1,c4_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 4,count of children,
enrolment_data_1.c4_t,enrolment_data_1.c4_t,enrolment_data_1,c4_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 4,count of children,
enrolment_data_1.c5_b,enrolment_data_1.c5_b,enrolment_data_1,c5_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 5,count of children,
enrolment_data_1.c5_g,enrolment_data_1.c5_g,enrolment_data_1,c5_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 5,count of children,
enrolment_data_1.c5_t,enrolment_data_1.c5_t,enrolment_data_1,c5_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 5,count of children,
enrolment_data_1.c6_b,enrolment_data_1.c6_b,enrolment_data_1,c6_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 6,count of children,
enrolment_data_1.c6_g,enrolment_data_1.c6_g,enrolment_data_1,c6_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 6,count of children,
enrolment_data_1.c6_t,enrolment_data_1.c6_t,enrolment_data_1,c6_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 6,count of children,
enrolment_data_1.c7_b,enrolment_data_1.c7_b,enrolment_data_1,c7_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 7,count of children,
enrolment_data_1.c7_g,enrolment_data_1.c7_g,enrolment_data_1,c7_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 7,count of children,
enrolment_data_1.c7_t,enrolment_data_1.c7_t,enrolment_data_1,c7_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 7,count of children,
enrolment_data_1.c8_b,enrolment_data_1.c8_b,enrolment_data_1,c8_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 8,count of children,
enrolment_data_1.c8_g,enrolment_data_1.c8_g,enrolment_data_1,c8_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 8,count of children,
enrolment_data_1.c8_t,enrolment_data_1.c8_t,enrolment_data_1,c8_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 8,count of children,
enrolment_data_1.c9_b,enrolment_data_1.c9_b,enrolment_data_1,c9_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 9,count of children,
enrolment_data_1.c9_g,enrolment_data_1.c9_g,enrolment_data_1,c9_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 9,count of children,
enrolment_data_1.c9_t,enrolment_data_1.c9_t,enrolment_data_1,c9_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 9,count of children,
enrolment_data_1.cpp_b,enrolment_data_1.cpp_b,enrolment_data_1,cpp_b,Students,2018-19,2025-26,8,0,,,,
enrolment_data_1.cpp_g,enrolment_data_1.cpp_g,enrolment_data_1,cpp_g,Students,2018-19,2025-26,8,0,,,,
enrolment_data_1.cpp_t,enrolment_data_1.cpp_t,enrolment_data_1,cpp_t,Students,2025-26,2025-26,1,0,,,,
enrolment_data_1.item_desc,enrolment_data_1.item_desc,enrolment_data_1,item_desc,Students,2018-19,2021-22,4,0,,,,
enrolment_data_1.item_group,enrolment_data_1.item_group,enrolment_data_1,item_group,Students,2022-23,2025-26,4,0,,,,
enrolment_data_1.item_id,enrolment_data_1.item_id,enrolment_data_1,item_id,Students,2022-23,2025-26,4,0,,,,
enrolment_data_1.pseudocode,enrolment_data_1.psuedocode,enrolment_data_1,pseudocode,Students,2022-23,2025-26,4,0,,,,pseudocode-stability spelling-of-the-key
enrolment_data_1.psuedocode,enrolment_data_1.psuedocode,enrolment_data_1,psuedocode,Students,2018-19,2021-22,4,0,,,,pseudocode-stability spelling-of-the-key
enrolment_data_2.c10_b,enrolment_data_2.c10_b,enrolment_data_2,c10_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 10,count of children,
enrolment_data_2.c10_g,enrolment_data_2.c10_g,enrolment_data_2,c10_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 10,count of children,
enrolment_data_2.c10_t,enrolment_data_2.c10_t,enrolment_data_2,c10_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 10,count of children,
enrolment_data_2.c11_b,enrolment_data_2.c11_b,enrolment_data_2,c11_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 11,count of children,
enrolment_data_2.c11_g,enrolment_data_2.c11_g,enrolment_data_2,c11_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 11,count of children,
enrolment_data_2.c11_t,enrolment_data_2.c11_t,enrolment_data_2,c11_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 11,count of children,
enrolment_data_2.c12_b,enrolment_data_2.c12_b,enrolment_data_2,c12_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 12,count of children,
enrolment_data_2.c12_g,enrolment_data_2.c12_g,enrolment_data_2,c12_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 12,count of children,
enrolment_data_2.c12_t,enrolment_data_2.c12_t,enrolment_data_2,c12_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 12,count of children,
enrolment_data_2.c1_b,enrolment_data_2.c1_b,enrolment_data_2,c1_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 1,count of children,
enrolment_data_2.c1_g,enrolment_data_2.c1_g,enrolment_data_2,c1_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 1,count of children,
enrolment_data_2.c1_t,enrolment_data_2.c1_t,enrolment_data_2,c1_t,Students,2025-26,2025-26,1,0,enrolment grid,Enrolment grid: transgender children enrolled in class 1,count of children,
enrolment_data_2.c2_b,enrolment_data_2.c2_b,enrolment_data_2,c2_b,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: boys enrolled in class 2,count of children,
enrolment_data_2.c2_g,enrolment_data_2.c2_g,enrolment_data_2,c2_g,Students,2018-19,2025-26,8,0,enrolment grid,Enrolment grid: girls enrolled in class 2,count of children,
